time,open,high,low,close,volume,open_interest
2026-04-16T00:00:00+05:30,5315.0,5349.0,5129.5,5159.5,920301,0
2026-04-17T00:00:00+05:30,5136.5,5250.0,5130.5,5230.5,545014,0
2026-04-20T00:00:00+05:30,5230.5,5318.0,5210.0,5282.5,654258,0
2026-04-21T00:00:00+05:30,5260.0,5310.0,5252.0,5259.0,321063,0
2026-04-22T00:00:00+05:30,5255.5,5291.0,5178.0,5189.0,293830,0
2026-04-23T00:00:00+05:30,5150.0,5160.0,4995.0,5032.0,628266,0
2026-04-24T00:00:00+05:30,5035.5,5060.5,4941.5,4961.5,520325,0
2026-04-27T00:00:00+05:30,5012.5,5098.0,5005.5,5043.0,448144,0
2026-04-28T00:00:00+05:30,5042.5,5105.5,5019.0,5068.0,667998,0
2026-04-29T00:00:00+05:30,5094.0,5208.5,5081.5,5114.5,474261,0
2026-04-30T00:00:00+05:30,5080.0,5114.5,5020.0,5099.0,478138,0
2026-05-04T00:00:00+05:30,5186.0,5237.0,5006.0,5066.5,617748,0
2026-05-05T00:00:00+05:30,5060.0,5135.0,5018.0,5109.0,573411,0
2026-05-06T00:00:00+05:30,5240.0,5281.0,4950.0,5170.0,2717300,0
2026-05-07T00:00:00+05:30,5235.0,5458.5,5189.5,5343.0,1775531,0
2026-05-08T00:00:00+05:30,5341.0,5398.5,5265.0,5322.0,558660,0
2026-05-11T00:00:00+05:30,5262.5,5283.5,5146.0,5228.5,447686,0
2026-05-12T00:00:00+05:30,5230.0,5270.0,5070.0,5082.5,391060,0
2026-05-13T00:00:00+05:30,5117.5,5128.0,4977.0,4995.0,494571,0
2026-05-14T00:00:00+05:30,5020.0,5091.0,4880.0,5077.0,594448,0
2026-05-15T00:00:00+05:30,5082.0,5139.5,5044.0,5064.5,425856,0
2026-05-18T00:00:00+05:30,5034.5,5034.5,4924.0,4957.0,434446,0
2026-05-19T00:00:00+05:30,4944.5,5040.0,4932.5,5007.5,560327,0
2026-05-20T00:00:00+05:30,4967.0,5015.0,4902.0,4968.0,416572,0
2026-05-21T00:00:00+05:30,5020.0,5039.5,4955.5,4969.5,335986,0
2026-05-22T00:00:00+05:30,4970.0,5014.5,4950.0,4966.0,284550,0
2026-05-25T00:00:00+05:30,5026.0,5065.5,4948.0,4979.0,445788,0
2026-05-26T00:00:00+05:30,4979.0,5029.0,4953.0,4983.0,413024,0
2026-05-27T00:00:00+05:30,4993.0,5102.0,4980.0,5075.0,460843,0
2026-05-29T00:00:00+05:30,5115.0,5140.0,4875.5,4903.0,1648645,0
2026-06-01T00:00:00+05:30,4915.5,4969.0,4761.0,4819.9,856536,0
2026-06-02T00:00:00+05:30,4838.4,4892.1,4747.1,4875.0,703263,0
2026-06-03T00:00:00+05:30,4856.0,4873.8,4815.0,4840.9,571637,0
2026-06-04T00:00:00+05:30,4850.4,4980.0,4850.4,4882.3,783946,0
2026-06-05T00:00:00+05:30,4898.0,4904.5,4791.1,4835.0,654540,0
2026-06-08T00:00:00+05:30,4795.0,4836.6,4760.6,4775.5,296366,0
2026-06-09T00:00:00+05:30,4791.6,4872.2,4768.6,4855.4,481952,0
2026-06-10T00:00:00+05:30,4850.6,4985.0,4842.3,4856.7,632203,0
2026-06-11T00:00:00+05:30,4840.6,4875.0,4810.2,4836.2,365084,0
2026-06-12T00:00:00+05:30,4913.0,4969.0,4868.4,4962.6,435472,0
