time,open,high,low,close,volume,open_interest
2026-04-16T00:00:00+05:30,212.98,212.98,208.21,210.26,36305074,0
2026-04-17T00:00:00+05:30,205.0,206.45,202.5,204.32,80542603,0
2026-04-20T00:00:00+05:30,204.5,205.2,202.0,202.48,27927164,0
2026-04-21T00:00:00+05:30,203.0,205.7,202.48,205.01,21530723,0
2026-04-22T00:00:00+05:30,203.5,205.38,202.2,204.0,21790433,0
2026-04-23T00:00:00+05:30,204.0,204.9,202.3,202.76,20307250,0
2026-04-24T00:00:00+05:30,202.75,202.75,197.88,199.36,39363394,0
2026-04-27T00:00:00+05:30,199.36,205.25,199.36,205.05,42632215,0
2026-04-28T00:00:00+05:30,204.56,205.68,201.02,201.58,23455983,0
2026-04-29T00:00:00+05:30,201.58,203.6,200.3,200.68,15667662,0
2026-04-30T00:00:00+05:30,200.89,202.15,200.0,200.65,15300274,0
2026-05-04T00:00:00+05:30,202.4,203.37,200.06,200.75,8446995,0
2026-05-05T00:00:00+05:30,200.0,202.3,199.6,199.78,8899200,0
2026-05-06T00:00:00+05:30,200.51,201.13,198.25,199.12,13166683,0
2026-05-07T00:00:00+05:30,199.5,200.28,197.19,197.36,19303572,0
2026-05-08T00:00:00+05:30,198.0,198.94,196.7,197.91,15970687,0
2026-05-11T00:00:00+05:30,197.88,198.24,196.15,196.68,9199527,0
2026-05-12T00:00:00+05:30,196.1,196.14,189.1,189.57,27435195,0
2026-05-13T00:00:00+05:30,190.67,191.3,187.31,187.8,17242394,0
2026-05-14T00:00:00+05:30,188.25,190.18,187.0,188.3,18280387,0
2026-05-15T00:00:00+05:30,189.9,191.9,188.8,190.0,17902610,0
2026-05-18T00:00:00+05:30,190.99,192.75,189.2,192.17,16327369,0
2026-05-19T00:00:00+05:30,192.4,198.0,192.4,195.17,20534622,0
2026-05-20T00:00:00+05:30,194.61,197.94,194.01,197.12,16201692,0
2026-05-21T00:00:00+05:30,198.5,200.04,197.5,199.74,18980608,0
2026-05-22T00:00:00+05:30,200.0,205.4,198.83,203.11,40014399,0
2026-05-25T00:00:00+05:30,207.0,209.55,204.06,206.84,72041558,0
2026-05-26T00:00:00+05:30,206.99,208.69,202.94,203.73,46458415,0
2026-05-27T00:00:00+05:30,203.85,205.99,200.2,201.58,39465643,0
2026-05-29T00:00:00+05:30,211.0,211.0,203.65,204.25,82734524,0
2026-06-01T00:00:00+05:30,205.1,207.75,205.1,206.41,26491139,0
2026-06-02T00:00:00+05:30,208.0,210.18,206.51,209.84,42476874,0
2026-06-03T00:00:00+05:30,208.0,208.4,202.0,204.1,62282204,0
2026-06-04T00:00:00+05:30,203.0,205.09,202.1,204.32,40659957,0
2026-06-05T00:00:00+05:30,191.52,199.0,188.15,198.37,43539069,0
2026-06-08T00:00:00+05:30,193.39,193.89,181.0,181.76,75164049,0
2026-06-09T00:00:00+05:30,183.97,184.35,180.6,181.67,28381665,0
2026-06-10T00:00:00+05:30,182.1,182.29,178.5,178.93,16935979,0
2026-06-11T00:00:00+05:30,176.97,178.2,175.83,177.37,14468882,0
2026-06-12T00:00:00+05:30,178.65,180.45,177.57,180.14,13850153,0
