time,open,high,low,close,volume,open_interest
2026-04-16T00:00:00+05:30,1231.0,1235.5,1222.8,1230.5,1778133,0
2026-04-17T00:00:00+05:30,1230.5,1244.5,1224.4,1240.8,2291092,0
2026-04-20T00:00:00+05:30,1245.0,1246.0,1226.0,1229.5,1158618,0
2026-04-21T00:00:00+05:30,1228.6,1236.4,1223.3,1232.5,1428292,0
2026-04-22T00:00:00+05:30,1226.0,1240.8,1222.0,1236.3,1172238,0
2026-04-23T00:00:00+05:30,1234.1,1308.4,1227.6,1305.9,5274028,0
2026-04-24T00:00:00+05:30,1295.0,1303.9,1254.1,1295.0,4427307,0
2026-04-27T00:00:00+05:30,1303.2,1320.7,1299.0,1317.2,1721187,0
2026-04-28T00:00:00+05:30,1316.0,1326.0,1296.3,1306.5,1501522,0
2026-04-29T00:00:00+05:30,1312.0,1322.0,1307.8,1317.6,986556,0
2026-04-30T00:00:00+05:30,1317.9,1329.8,1305.0,1309.6,1370336,0
2026-05-04T00:00:00+05:30,1320.0,1337.4,1313.6,1335.0,1088765,0
2026-05-05T00:00:00+05:30,1339.0,1339.4,1316.4,1333.7,1051020,0
2026-05-06T00:00:00+05:30,1340.0,1372.0,1333.1,1364.4,1854812,0
2026-05-07T00:00:00+05:30,1370.0,1379.5,1360.1,1362.3,1248019,0
2026-05-08T00:00:00+05:30,1355.0,1366.7,1341.3,1347.0,1044824,0
2026-05-11T00:00:00+05:30,1347.0,1350.0,1300.1,1304.9,1428197,0
2026-05-12T00:00:00+05:30,1304.6,1309.0,1289.0,1292.3,1398439,0
2026-05-13T00:00:00+05:30,1279.1,1356.6,1274.7,1327.6,6015153,0
2026-05-14T00:00:00+05:30,1362.2,1442.0,1362.2,1436.7,9166941,0
2026-05-15T00:00:00+05:30,1436.7,1444.5,1425.2,1432.1,1138894,0
2026-05-18T00:00:00+05:30,1422.0,1442.1,1411.8,1426.2,2013605,0
2026-05-19T00:00:00+05:30,1420.0,1426.6,1408.7,1409.8,1379218,0
2026-05-20T00:00:00+05:30,1392.3,1422.1,1392.3,1399.5,1316586,0
2026-05-21T00:00:00+05:30,1406.5,1415.9,1397.7,1401.9,1145360,0
2026-05-22T00:00:00+05:30,1409.0,1409.6,1392.0,1399.2,917323,0
2026-05-25T00:00:00+05:30,1406.0,1420.0,1398.5,1413.9,668915,0
2026-05-26T00:00:00+05:30,1413.9,1422.6,1409.6,1417.5,1132793,0
2026-05-27T00:00:00+05:30,1417.6,1432.0,1416.0,1418.2,937447,0
2026-05-29T00:00:00+05:30,1411.0,1429.2,1382.7,1401.0,9540984,0
2026-06-01T00:00:00+05:30,1410.0,1413.6,1386.0,1390.3,714608,0
2026-06-02T00:00:00+05:30,1380.0,1384.9,1358.2,1379.3,2290839,0
2026-06-03T00:00:00+05:30,1375.0,1384.9,1365.3,1375.2,1520395,0
2026-06-04T00:00:00+05:30,1365.0,1404.9,1354.0,1398.7,1548692,0
2026-06-05T00:00:00+05:30,1394.0,1406.1,1382.0,1401.3,1050391,0
2026-06-08T00:00:00+05:30,1397.0,1405.0,1383.0,1387.9,669481,0
2026-06-09T00:00:00+05:30,1383.1,1398.8,1373.6,1376.5,1419845,0
2026-06-10T00:00:00+05:30,1374.0,1391.4,1371.1,1377.0,962642,0
2026-06-11T00:00:00+05:30,1376.1,1391.0,1373.9,1383.3,654474,0
2026-06-12T00:00:00+05:30,1393.9,1396.1,1382.2,1389.4,805612,0
