time,open,high,low,close,volume,open_interest
2026-04-16T00:00:00+05:30,302.95,305.35,301.85,303.4,16512053,0
2026-04-17T00:00:00+05:30,303.85,309.95,303.85,306.8,35111203,0
2026-04-20T00:00:00+05:30,307.0,307.95,304.45,305.0,13540471,0
2026-04-21T00:00:00+05:30,305.0,311.1,304.55,309.65,24411865,0
2026-04-22T00:00:00+05:30,310.0,310.55,305.1,305.5,24500511,0
2026-04-23T00:00:00+05:30,304.0,306.35,303.25,305.3,10701849,0
2026-04-24T00:00:00+05:30,306.65,306.65,301.1,301.6,17011704,0
2026-04-27T00:00:00+05:30,303.65,305.65,302.85,303.85,14382348,0
2026-04-28T00:00:00+05:30,304.4,305.8,302.55,304.45,12907339,0
2026-04-29T00:00:00+05:30,305.1,317.5,305.1,316.25,31199038,0
2026-04-30T00:00:00+05:30,316.25,317.5,313.3,314.9,11541956,0
2026-05-04T00:00:00+05:30,317.9,317.9,310.5,311.1,20245091,0
2026-05-05T00:00:00+05:30,311.1,313.7,309.65,311.45,26795704,0
2026-05-06T00:00:00+05:30,312.8,313.6,309.25,310.7,20287609,0
2026-05-07T00:00:00+05:30,311.45,311.65,307.0,307.4,25718615,0
2026-05-08T00:00:00+05:30,308.9,308.9,305.7,307.45,17739844,0
2026-05-11T00:00:00+05:30,307.0,308.0,305.15,305.85,14968661,0
2026-05-12T00:00:00+05:30,305.35,306.25,300.1,300.7,15968338,0
2026-05-13T00:00:00+05:30,302.0,305.8,301.05,304.45,13024778,0
2026-05-14T00:00:00+05:30,305.0,309.2,304.85,307.2,11113377,0
2026-05-15T00:00:00+05:30,307.2,312.05,306.3,309.45,11954564,0
2026-05-18T00:00:00+05:30,309.45,312.3,306.5,310.15,14422870,0
2026-05-19T00:00:00+05:30,311.95,314.25,308.35,310.3,17519355,0
2026-05-20T00:00:00+05:30,309.0,309.65,306.2,307.55,12127920,0
2026-05-21T00:00:00+05:30,309.85,311.3,305.8,308.05,21868988,0
2026-05-22T00:00:00+05:30,305.9,307.0,301.0,301.7,30751752,0
2026-05-25T00:00:00+05:30,303.95,305.5,302.35,303.95,15734247,0
2026-05-26T00:00:00+05:30,304.35,304.4,301.1,301.65,37560542,0
2026-05-27T00:00:00+05:30,295.65,296.35,291.05,291.95,25446093,0
2026-05-29T00:00:00+05:30,292.0,292.4,285.9,286.9,31930439,0
2026-06-01T00:00:00+05:30,287.8,288.55,278.3,279.65,23477875,0
2026-06-02T00:00:00+05:30,279.5,283.6,277.1,283.25,20206131,0
2026-06-03T00:00:00+05:30,282.35,282.35,275.2,277.0,28001438,0
2026-06-04T00:00:00+05:30,277.0,280.65,275.05,280.3,22017634,0
2026-06-05T00:00:00+05:30,280.0,281.4,277.85,280.7,16065822,0
2026-06-08T00:00:00+05:30,279.0,283.45,276.95,279.45,15779677,0
2026-06-09T00:00:00+05:30,281.7,281.7,277.15,280.0,12302522,0
2026-06-10T00:00:00+05:30,280.0,285.85,278.65,283.65,19823743,0
2026-06-11T00:00:00+05:30,283.0,283.25,281.2,282.4,12603100,0
2026-06-12T00:00:00+05:30,283.55,285.85,283.0,285.1,12893433,0
