time,open,high,low,close,volume,open_interest
2026-04-20T09:15:00+05:30,204.5,204.99,203.42,203.76,2071490,0
2026-04-20T09:20:00+05:30,203.76,204.95,203.67,204.75,799982,0
2026-04-20T09:25:00+05:30,204.7,205.0,203.99,204.19,856142,0
2026-04-20T09:30:00+05:30,204.11,205.2,204.01,205.05,709503,0
2026-04-20T09:35:00+05:30,205.08,205.08,203.85,203.91,965467,0
2026-04-20T09:40:00+05:30,203.91,203.95,203.5,203.6,690572,0
2026-04-20T09:45:00+05:30,203.51,203.6,202.9,203.03,855912,0
2026-04-20T09:50:00+05:30,203.03,203.33,203.0,203.25,362929,0
2026-04-20T09:55:00+05:30,203.25,203.25,202.51,202.73,867855,0
2026-04-20T10:00:00+05:30,202.73,202.87,202.55,202.76,498428,0
2026-04-20T10:05:00+05:30,202.79,203.17,202.75,203.02,289186,0
2026-04-20T10:10:00+05:30,203.07,203.09,202.9,203.01,362025,0
2026-04-20T10:15:00+05:30,203.02,203.12,202.9,203.0,271658,0
2026-04-20T10:20:00+05:30,203.0,203.25,202.91,203.18,212457,0
2026-04-20T10:25:00+05:30,203.18,203.45,203.08,203.44,238544,0
2026-04-20T10:30:00+05:30,203.44,203.8,203.41,203.78,365366,0
2026-04-20T10:35:00+05:30,203.75,203.83,203.6,203.74,287421,0
2026-04-20T10:40:00+05:30,203.77,203.8,203.65,203.77,155994,0
2026-04-20T10:45:00+05:30,203.75,203.77,203.3,203.4,222280,0
2026-04-20T10:50:00+05:30,203.4,203.44,203.1,203.21,282374,0
2026-04-20T10:55:00+05:30,203.21,203.25,203.06,203.15,208074,0
2026-04-20T11:00:00+05:30,203.18,203.25,203.02,203.25,207295,0
2026-04-20T11:05:00+05:30,203.22,203.35,203.05,203.1,201666,0
2026-04-20T11:10:00+05:30,203.1,203.16,203.05,203.11,161869,0
2026-04-20T11:15:00+05:30,203.14,203.35,203.09,203.22,177449,0
2026-04-20T11:20:00+05:30,203.22,203.55,203.13,203.55,201863,0
2026-04-20T11:25:00+05:30,203.55,203.85,203.5,203.8,344150,0
2026-04-20T11:30:00+05:30,203.8,203.85,203.41,203.63,524248,0
2026-04-20T11:35:00+05:30,203.6,203.63,203.3,203.39,253820,0
2026-04-20T11:40:00+05:30,203.32,203.39,203.2,203.21,199582,0
2026-04-20T11:45:00+05:30,203.22,203.3,203.11,203.22,261984,0
2026-04-20T11:50:00+05:30,203.23,203.29,203.12,203.15,194264,0
2026-04-20T11:55:00+05:30,203.12,203.25,203.05,203.2,238671,0
2026-04-20T12:00:00+05:30,203.2,203.29,203.1,203.12,179628,0
2026-04-20T12:05:00+05:30,203.11,203.29,203.06,203.1,182082,0
2026-04-20T12:10:00+05:30,203.11,203.15,203.03,203.03,196962,0
2026-04-20T12:15:00+05:30,203.03,203.08,203.0,203.05,238272,0
2026-04-20T12:20:00+05:30,203.01,203.1,203.0,203.03,186291,0
2026-04-20T12:25:00+05:30,203.02,203.21,203.0,203.1,330766,0
2026-04-20T12:30:00+05:30,203.1,203.25,203.01,203.04,254352,0
2026-04-20T12:35:00+05:30,203.1,203.17,203.0,203.09,325023,0
2026-04-20T12:40:00+05:30,203.09,203.13,203.01,203.05,156349,0
2026-04-20T12:45:00+05:30,203.05,203.12,202.91,202.99,279488,0
2026-04-20T12:50:00+05:30,202.99,203.07,202.91,203.0,176499,0
2026-04-20T12:55:00+05:30,203.0,203.07,202.91,202.95,187247,0
2026-04-20T13:00:00+05:30,202.95,203.0,202.51,202.81,698726,0
2026-04-20T13:05:00+05:30,202.8,202.95,202.75,202.8,218952,0
2026-04-20T13:10:00+05:30,202.79,203.0,202.78,202.96,158272,0
2026-04-20T13:15:00+05:30,202.96,203.1,202.8,202.86,295345,0
2026-04-20T13:20:00+05:30,202.9,202.92,202.75,202.89,200140,0
2026-04-20T13:25:00+05:30,202.89,202.89,202.65,202.8,214172,0
2026-04-20T13:30:00+05:30,202.81,202.9,202.52,202.8,340887,0
2026-04-20T13:35:00+05:30,202.8,202.85,202.65,202.7,185647,0
2026-04-20T13:40:00+05:30,202.7,202.8,202.6,202.78,161247,0
2026-04-20T13:45:00+05:30,202.79,202.8,202.62,202.67,153639,0
2026-04-20T13:50:00+05:30,202.67,202.7,202.57,202.7,146839,0
2026-04-20T13:55:00+05:30,202.7,202.85,202.62,202.8,186641,0
2026-04-20T14:00:00+05:30,202.8,202.8,202.62,202.68,118859,0
2026-04-20T14:05:00+05:30,202.65,202.68,202.52,202.6,175715,0
2026-04-20T14:10:00+05:30,202.61,202.7,202.56,202.7,129126,0
2026-04-20T14:15:00+05:30,202.69,202.76,202.61,202.69,160652,0
2026-04-20T14:20:00+05:30,202.68,202.78,202.61,202.67,184169,0
2026-04-20T14:25:00+05:30,202.68,202.9,202.64,202.87,209329,0
2026-04-20T14:30:00+05:30,202.87,202.94,202.8,202.94,152352,0
2026-04-20T14:35:00+05:30,202.93,202.95,202.8,202.87,149767,0
2026-04-20T14:40:00+05:30,202.83,202.9,202.79,202.84,223111,0
2026-04-20T14:45:00+05:30,202.85,202.85,202.6,202.7,289145,0
2026-04-20T14:50:00+05:30,202.7,202.89,202.68,202.8,251809,0
2026-04-20T14:55:00+05:30,202.74,202.85,202.69,202.78,262021,0
